,UG_depth,UG_rz,UG_cx,UG_sx,UG_x,LT_depth,LT_rz,LT_cx,LT_sx,LT_x
1,1235449,788234,574656,513537,6704,2860,1650,2374,116,43
2,1243850,784970,573667,519356,2403,1459,852,1175,84,36
3,1252327,782383,574521,515874,12312,4174,2452,3851,136,49
4,1257583,790410,573192,514078,16323,730,420,596,36,21
5,1253324,783813,574411,517060,12137,3796,2221,3164,280,77
6,1249313,780560,573481,514508,12057,2761,1680,1735,516,133
7,1241033,783759,574567,508694,16508,6221,3771,4241,1052,266
8,1237082,781225,573225,507015,16372,373,210,301,20,18
9,1228046,778517,574984,514940,2215,3837,2339,2826,544,150
10,1243606,784867,573666,519385,2130,2088,1217,1727,232,74
11,1261989,792932,574371,515703,16533,6271,3930,3888,1296,202
12,1233074,786652,573398,512864,6384,1320,788,888,212,64
13,1260720,791465,574400,514761,16467,4289,2519,3401,392,106
14,1232207,786386,573262,512235,6628,3083,1813,2166,456,117
15,1227115,778654,575051,514774,2233,5717,3329,4938,424,106
16,1232354,785858,573188,512320,6401,189,101,160,8,14
17,1253410,783767,574605,516869,12144,2947,1752,2767,108,41
18,1223778,777150,573513,513513,2069,1938,1186,1306,288,87
19,1247364,787140,574286,521099,2170,4683,2800,4074,392,108
20,1223821,776997,573471,513710,2173,910,537,841,48,27
21,1246778,786571,574737,520667,2155,3930,2322,3492,288,78
22,1245145,785022,573300,519923,2131,2898,1706,2050,448,80
23,1236305,787787,574813,513660,6608,5821,3431,4618,608,123
24,1257629,789280,573177,513474,16669,580,330,465,44,20
25,1240249,783412,574493,508324,16497,4142,2552,2807,656,168
26,1238135,782381,573123,507594,16674,2146,1237,1755,168,55
27,1235046,787581,574504,513376,6308,5172,2998,4310,384,108
28,1233807,786559,573069,512957,6618,1594,941,1112,260,72
29,1239952,782882,574616,508101,16242,5482,3332,3576,1096,257
30,1258475,791098,573565,514395,16252,3430,2015,2317,560,94
31,1228113,778622,574511,515069,2125,6546,3930,4854,884,210
32,1232141,785543,573267,512267,6315,107,56,65,16,9
33,1235772,788308,574521,513676,6604,2935,1795,2424,192,63
34,1245550,785343,572939,520141,2131,1420,863,1404,48,20
35,1260737,791196,574635,514648,16478,4869,2911,4058,516,132
36,1245369,785160,573311,520065,2271,821,502,760,64,22
37,1240282,783102,574635,508353,16345,4357,2590,3340,560,159
38,1238901,783357,573401,508459,16181,2375,1383,2175,172,52
39,1252272,782048,574487,515743,12107,5640,3409,4771,612,156
40,1233315,786648,573031,512821,6331,525,304,339,72,26
41,1253209,783433,574966,516775,12064,3939,2394,2916,556,153
42,1249246,780413,573564,514548,12099,1989,1156,1751,144,43
43,1248768,787017,574955,521247,2495,5106,2987,4289,412,96
44,1250781,782222,573543,515983,12166,1449,857,1041,208,60
45,1253389,783707,574899,516870,12072,4121,2455,3610,276,77
46,1233320,786387,573699,512454,6650,2917,1676,2386,276,60
47,1248474,786880,574761,521042,2443,6139,3632,4932,668,158
48,1250520,782079,573213,515639,12235,316,168,223,28,16
49,1242383,785414,574734,509872,16341,3153,1886,3020,192,46
50,1257642,789634,573110,513175,16674,2063,1246,1387,308,92
51,1228422,778815,575007,514983,2215,4756,2755,4391,292,82
52,1232416,786544,573064,512565,6680,1048,599,914,72,31
53,1236706,787762,574611,513806,6356,3929,2301,3542,220,67
54,1237967,782086,573600,507324,16578,2837,1639,2214,320,94
55,1261978,792922,574453,515961,16301,5994,3603,4617,696,129
56,1224046,777097,573268,513651,2167,769,448,492,112,39
57,1247322,786979,574343,521073,2234,4238,2565,2962,632,168
58,1223869,777067,573713,513468,2197,2546,1533,1780,432,91
59,1236665,787603,574863,513793,6493,5209,3012,4388,368,87
60,1234093,786314,573725,512935,6436,1675,986,1115,256,73
61,1246624,786411,574608,520649,2430,4544,2635,4045,388,84
62,1232784,786997,573385,512490,6578,3352,1991,2312,500,131
63,1236742,787999,574989,513802,6465,7205,4348,4739,1308,269
64,1233604,785682,573451,512638,6486,37,20,18,4,7
65,1247590,786066,574891,520757,2484,3347,2084,2224,528,142
66,1238570,783118,573636,508294,16075,1448,874,1223,88,27
67,1253037,783305,574753,516738,12107,4721,2795,4019,452,121
68,1237341,781540,573240,507362,16219,910,555,641,136,46
69,1251523,781464,574732,515424,11992,4118,2426,3183,444,126
70,1233753,786367,573351,512684,6388,2606,1554,1881,384,67
71,1260397,790884,574723,514476,16539,5709,3349,4615,632,158
72,1250880,782142,572953,516035,11972,391,229,363,20,17
73,1253210,783611,574415,516868,12030,3941,2426,2655,604,165
74,1223773,777101,573565,513483,2173,2097,1251,1679,248,73
75,1241433,784775,574471,509441,16426,5044,2947,4248,400,89
76,1233898,786356,573599,512823,6565,1463,881,947,260,73
77,1226661,778777,574638,514625,2098,4405,2561,3703,403,106
78,1223688,777089,573290,513384,2186,3054,1836,2305,435,111
79,1240134,783083,574471,508244,16304,6823,4070,4672,1146,271
80,1232290,785933,573373,512358,6853,243,141,182,26,17
81,1251754,781892,574509,515426,12080,3234,1942,2950,278,66
82,1225111,777294,573403,513781,2114,1951,1196,1343,308,59
83,1248389,786592,574450,521019,2445,4923,2881,4163,444,89
84,1238875,783427,573350,508641,16332,1118,635,838,124,44
85,1247764,787351,574330,521111,2091,3910,2291,3546,244,69
86,1224045,777331,573682,513573,2174,2570,1477,2094,208,54
87,1253064,783478,574739,516787,12101,5594,3273,4637,460,101
88,1238527,782851,573185,508492,16041,711,424,448,112,34
89,1227351,778330,574325,514731,2246,4182,2576,2799,652,179
90,1258547,790201,573203,513642,16729,2174,1218,1816,140,49
91,1241209,784550,574652,509337,16458,5141,2963,4358,340,82
