,UG_depth,UG_rz,UG_cx,UG_sx,UG_x,LT_depth,LT_rz,LT_cx,LT_sx,LT_x
112,1652.0,682.0,1270.0,421.0,49.0,23.0,16.0,11.0,6.0,2.0
113,2430.0,1317.0,1364.0,720.0,129.0,407.0,231.0,370.0,30.0,14.0
114,2201.0,1110.0,1358.0,600.0,112.0,209.0,118.0,198.0,13.0,10.0
115,1734.0,748.0,1436.0,392.0,52.0,645.0,361.0,474.0,66.0,24.0
116,2262.0,1124.0,1339.0,629.0,129.0,120.0,66.0,76.0,17.0,5.0
117,1728.0,736.0,1444.0,377.0,53.0,506.0,287.0,396.0,46.0,16.0
118,1634.0,680.0,1368.0,385.0,48.0,352.0,184.0,242.0,38.0,13.0
119,1640.0,732.0,1329.0,367.0,56.0,791.0,460.0,506.0,114.0,35.0
120,2418.0,1187.0,1370.0,673.0,136.0,65.0,40.0,25.0,14.0,4.0
121,1756.0,758.0,1450.0,394.0,51.0,403.0,248.0,355.0,30.0,11.0
122,1874.0,875.0,1358.0,483.0,78.0,277.0,163.0,181.0,39.0,11.0
123,2323.0,1174.0,1439.0,648.0,105.0,756.0,435.0,481.0,118.0,37.0
124,1680.0,684.0,1318.0,409.0,51.0,162.0,85.0,92.0,26.0,7.0
125,2484.0,1246.0,1473.0,685.0,115.0,553.0,304.0,439.0,50.0,17.0
126,1773.0,759.0,1395.0,437.0,59.0,383.0,202.0,272.0,42.0,17.0
127,1768.0,768.0,1455.0,398.0,55.0,812.0,459.0,628.0,102.0,25.0
