"Measurement outcome","Frequency"
"0000","1307"
"0001","2013"
"0010","1230"
"0011","1659"
"0100","1136"
"0101","1024"
"0110","1343"
"0111","947"
"1000","1398"
"1001","1143"
"1010","1220"
"1011","1070"
"1100","1100"
"1101","1182"
"1110","1056"
"1111","1172"
