,UG_depth,UG_rz,UG_cx,UG_sx,UG_x,LT_depth,LT_rz,LT_cx,LT_sx,LT_x
1,4610,2906,2132,1886,43,233,134,140,36,20
2,4514,2880,2094,1844,48,107,56,65,16,9
3,4658,2949,2123,1906,36,321,172,219,36,19
4,4565,2827,2100,1827,48,38,20,18,4,7
5,4667,2973,2129,1930,36,243,141,182,26,17
6,4551,2909,2107,1851,37,142,74,83,20,9
7,4654,2936,2127,1908,32,360,183,260,36,14
8,2888,1756,1387,1115,55,17,7,9,0,6
9,4655,2934,2138,1902,38,196,109,196,7,14
10,4453,2789,2114,1746,53,104,61,76,12,11
11,4637,2919,2129,1901,32,328,168,250,28,16
12,3316,1955,1689,1236,52,53,31,23,8,10
13,4662,2947,2123,1919,32,257,148,189,26,21
14,3539,2115,1782,1340,44,151,78,90,20,12
15,3711,2220,1879,1432,50,384,194,270,36,19
16,466,198,304,122,21,7,4,1,2,2
17,2999,1695,1532,1105,42,192,105,182,10,10
18,2927,1660,1471,1078,73,107,60,66,18,7
19,3038,1802,1522,1171,53,339,190,221,54,18
20,2722,1560,1467,974,68,41,25,16,8,6
21,2969,1777,1537,1139,49,243,142,182,26,16
22,2996,1809,1537,1169,50,142,75,83,20,8
23,2946,1746,1552,1098,68,365,194,261,40,19
24,2370,1294,1229,802,91,24,15,11,6,4
25,2972,1691,1518,1051,86,215,123,196,17,11
26,2943,1676,1504,1051,92,131,67,82,18,7
27,2993,1746,1502,1112,75,345,187,240,42,17
28,2699,1440,1432,905,92,78,41,40,12,11
29,2987,1741,1506,1117,82,275,156,188,31,16
30,2658,1467,1479,881,89,162,85,92,26,9
31,2890,1682,1543,1037,72,405,222,263,66,17
32,507,228,304,134,25,1,1,0,0,0
33,893,495,469,264,39,205,120,134,24,13
34,944,495,471,269,71,107,57,65,16,7
35,841,435,489,244,39,321,173,219,36,17
36,938,496,464,273,68,38,20,18,4,5
37,919,514,476,275,44,239,136,184,22,15
38,878,479,458,266,38,142,74,83,20,7
39,941,524,482,276,50,369,197,259,44,15
40,919,482,459,267,61,17,7,9,0,4
41,923,516,480,267,51,196,109,196,7,12
42,833,449,469,270,39,102,61,74,12,9
43,926,505,470,275,50,328,168,250,28,14
44,938,496,462,270,67,53,31,23,8,8
45,933,507,475,272,52,257,148,189,26,19
46,920,505,472,275,47,151,78,90,20,10
47,930,516,482,271,50,377,199,268,40,19
48,869,447,456,275,52,7,5,1,2,0
49,657,365,471,190,27,192,106,182,10,8
50,749,360,507,208,33,107,61,66,18,5
51,779,377,561,205,35,339,191,221,54,16
52,663,341,449,193,34,42,26,16,8,5
53,773,369,546,183,37,284,156,176,40,19
54,647,338,446,189,28,139,71,85,16,9
55,768,372,549,186,36,378,199,259,44,17
56,694,327,454,199,33,23,16,11,6,2
57,727,397,496,205,32,215,123,196,17,9
58,760,359,526,194,41,121,64,77,14,5
59,793,407,545,217,36,359,193,238,46,15
60,731,340,494,204,33,60,36,27,10,5
61,789,405,546,214,37,275,157,188,31,14
62,777,364,524,209,34,162,85,92,26,7
63,793,403,556,205,40,399,213,267,58,15
