,UG_depth,UG_rz,UG_cx,UG_sx,UG_x,LT_depth,LT_rz,LT_cx,LT_sx,LT_x
1,1082,669,486,432,19,107,56,65,16,9
2,1090,676,491,432,20,38,20,18,4,7
3,1084,666,490,433,18,138,70,85,16,10
4,701,352,407,206,25,18,12,7,4,6
5,1071,642,490,419,18,104,61,76,12,11
6,842,474,437,303,14,53,31,23,8,10
7,879,495,444,319,20,151,78,90,20,12
8,193,103,106,68,7,7,4,1,2,2
9,716,358,384,224,23,107,60,66,18,7
10,694,369,371,229,18,41,25,16,8,6
11,755,421,399,261,22,140,71,85,16,11
12,516,243,331,150,25,24,15,11,6,4
13,770,414,412,237,26,121,63,77,14,7
14,692,354,387,210,32,59,34,27,10,8
15,753,404,397,254,20,162,85,92,26,9
16,188,103,100,68,7,1,1,0,0,0
17,315,163,177,86,15,107,57,65,16,7
18,301,152,160,88,18,42,25,16,8,4
19,315,162,179,88,15,138,70,85,16,8
20,297,148,161,94,15,17,7,9,0,4
21,323,174,172,96,18,102,61,74,12,9
22,292,140,155,87,16,53,31,23,8,8
23,306,152,172,81,18,151,78,90,20,10
24,299,156,156,102,15,7,5,1,2,0
25,344,189,179,106,19,107,61,66,18,5
26,324,163,172,102,16,42,26,16,8,5
27,342,183,181,104,18,139,71,85,16,9
28,336,183,160,115,19,23,16,11,6,2
29,314,174,169,96,17,119,64,75,14,5
30,284,153,151,99,11,60,36,27,10,5
31,287,158,160,88,14,162,85,92,26,7
