,UG_depth,UG_rz,UG_cx,UG_sx,UG_x,LT_depth,LT_rz,LT_cx,LT_sx,LT_x
1,244.0,153.0,92.0,99.0,4.0,42.0,25.0,16.0,8.0,6.0
2,149.0,81.0,77.0,50.0,6.0,18.0,12.0,7.0,4.0,6.0
3,207.0,117.0,88.0,74.0,8.0,54.0,32.0,23.0,8.0,9.0
4,50.0,32.0,19.0,22.0,1.0,7.0,4.0,1.0,2.0,2.0
5,183.0,108.0,83.0,58.0,13.0,41.0,25.0,16.0,8.0,6.0
6,151.0,83.0,74.0,53.0,10.0,24.0,15.0,11.0,6.0,4.0
7,178.0,97.0,80.0,56.0,9.0,60.0,35.0,27.0,10.0,7.0
8,46.0,27.0,13.0,18.0,2.0,1.0,1.0,0.0,0.0,0.0
9,93.0,60.0,36.0,30.0,5.0,38.0,20.0,18.0,4.0,5.0
10,80.0,56.0,30.0,34.0,1.0,17.0,7.0,9.0,0.0,4.0
11,95.0,62.0,36.0,30.0,5.0,53.0,31.0,23.0,8.0,8.0
12,64.0,39.0,21.0,26.0,3.0,7.0,5.0,1.0,2.0,0.0
13,105.0,65.0,41.0,32.0,7.0,42.0,26.0,16.0,8.0,5.0
14,85.0,56.0,33.0,32.0,3.0,23.0,16.0,11.0,6.0,2.0
15,99.0,64.0,40.0,34.0,4.0,66.0,40.0,25.0,14.0,6.0
