,UG_depth_mean,LT_depth_mean,UG_depth_max,LT_depth_max,UG_depth_min,LT_depth_min
4,121.93333333333334,32.86666666666667,244,66,46,1
5,538.8709677419355,81.93548387096774,1090,162,188,1
6,2123.9206349206347,190.63492063492063,4667,405,466,1
7,7959.259842519685,402.74015748031496,19355,858,1153,1
8,30809.945098039214,827.1137254901961,78341,1792,2590,1
9,121950.78277886497,1632.228962818004,314358,3681,5291,1
10,480122.38318670576,3236.5434995112414,1261989,7342,11352,1
