"Measurement outcome","Frequency"
"0000","3328"
"0001","2565"
"0010","2963"
"0011","2546"
"0100","1102"
"0101","743"
"0110","1107"
"0111","809"
"1000","723"
"1001","901"
"1010","653"
"1011","755"
"1100","458"
"1101","424"
"1110","458"
"1111","465"
