,0
111010,1
100110,461
1111,454
110,492
10001,480
101000,505
11100,475
100010,477
1011,477
1100,479
100011,442
100,550
100100,454
1101,496
100101,488
1110,485
10101,456
0,484
10,471
10111,477
1001,498
10010,475
11011,480
11111,517
100001,448
1010,439
111,439
100111,483
101,446
1,476
10110,466
11,492
100000,482
11010,469
101001,492
11001,463
11110,463
10000,461
1000,484
11000,488
10011,447
10100,514
11101,473
111001,1
