,D-cx_mean,D-rz_mean,D-cx_std,D-rz_std,D-cx_max,D-rz_max,D-cx_min,D-rz_min,LT-cx_mean,LT-u_mean,LT-cx_std,LT-u_std,LT-cx_max,LT-u_max,LT-cx_min,LT-u_min
4,9.066666666666666,10.0,5.848890818738524,5.96417878432803,14,15,0,0,20.266666666666666,64.8,13.976851610873636,43.08993916383332,38,119,0,1
5,20.0,21.0,11.135528725660043,11.135528725660043,30,31,0,1,45.41935483870968,140.0,28.426248660405857,85.45018041720762,88,268,0,1
6,41.333333333333336,42.333333333333336,22.538855339169277,22.538855339169277,62,63,0,1,86.34920634920636,259.6190476190476,49.63159722302261,146.18695813276435,170,507,0,1
7,84.0,85.0,45.345236532523195,45.345236532523195,126,127,0,1,147.1496062992126,433.9212598425197,78.42356290106777,227.03595989207193,292,856,0,1
8,169.33333333333334,170.33333333333334,90.95786570348575,90.95786570348575,254,255,0,1,231.90588235294118,673.1450980392157,115.50746884493005,329.59281506968745,462,1335,0,1
9,340.0,340.99804305283755,182.18305812195234,182.18672277898673,510,511,0,0,344.67318982387474,987.4363992172212,161.51260754954131,455.3200160606169,688,1964,0,1
10,681.3333333333334,682.3333333333334,364.6334101663231,364.6334101663231,1022,1023,0,1,489.47800586510266,1386.8582600195502,217.02360665722233,605.6008696773118,978,2763,0,1
11,1364.0,1365.0,729.5340979008452,729.5340979008452,2046,2047,0,1,670.3273082559843,1881.420615534929,282.59634184811677,781.7680368034744,1340,3752,0,1
12,2729.332844932845,2730.332600732601,1459.3363785260294,1459.3368354381907,4094,4095,0,0,891.2175824175824,2481.1067155067153,358.7645212576836,985.1125592356352,1782,4951,0,1
13,5460.0,5461.0,2918.9381957273763,2918.9381957273763,8190,8191,0,1,1156.1411305090953,3195.8906116469298,446.04195514008865,1216.884560045517,2312,6380,0,1
14,10921.333333333334,10922.333333333334,5838.143654736346,5838.143654736346,16382,16383,0,1,1469.0896661173167,4035.7465665629006,544.9234150032534,1478.2922647454968,2938,8059,0,1
15,21843.916735341696,21844.916735341696,11676.672886121012,11676.672886121012,32766,32767,0,1,1833.9309587034154,5010.311479412752,655.8062793773089,1770.2830921896943,3668,10008,0,1
