,D-depth_mean,D-time_mean,LT-depth_mean,LT-time_mean,D-depth_std,D-time_std,LT-depth_std,LT-time_std,D-depth_max,D-time_max,LT-depth_max,LT-time_max,D-depth_min,D-time_min,LT-depth_min,LT-time_min
4,26.8,0.15221759478251137,76.86666666666666,1.1937048435211182,10.022831079946567,0.04860405112298886,53.75322803152871,3.709312562340355,36,0.2492761611938476,141,14.59408974647522,6,0.09663987159729,1,0.0389101505279541
5,73.74193548387096,0.2962211101285873,187.67741935483872,0.9515321716185539,11.192163156826846,0.043958936423255296,122.26702665253462,2.569569045806343,83,0.409677505493164,362,14.715084791183472,46,0.2166719436645507,1,0.046579360961914
6,159.84126984126985,0.5233508783673483,365.04761904761904,0.8643472005450537,23.25122705690643,0.04989736279104667,213.84818466133706,0.4559854131552247,188,0.6338860988616943,731,1.7745492458343506,115,0.4039936065673828,1,0.0356309413909912
7,374.5196850393701,1.8854923304610365,627.5433070866142,2.3250021840643695,67.158406722843,0.4391463242183645,343.6946262679769,1.1484419136310295,467,3.732534646987915,1279,4.710491895675659,218,1.2177858352661133,1,0.1085987091064453
8,750.2823529411764,3.6063724358876548,992.756862745098,3.7514227642732507,123.4301050355526,0.7952265518369289,517.1795440744119,1.829987080134078,903,8.790510892868042,2056,8.681210994720459,470,2.3025894165039062,1,0.0756332874298095
9,1174.7416829745596,8.91815085747004,1449.2954990215264,5.258368803330364,256.45706708750083,5.557537973427493,692.7727046818821,2.4391051791095903,1886,35.02799916267395,3109,11.44084644317627,731,3.967136859893799,1,0.1701691150665283
10,2181.8084066471165,16.12034698129283,1998.2531769305963,6.896922803461144,540.7386414198286,12.2627132792408,889.9313939493151,3.201176006762225,3762,71.60812783241272,4160,22.25691556930542,1156,6.148653268814087,1,0.2836029529571533
11,4786.338055691255,54.896848391251964,2652.875915974597,10.510571842724717,1213.3383961494849,68.08242918937181,1126.3879281376735,4.5350274790797025,7795,577.0488815307617,5726,25.27722692489624,2700,12.90503478050232,1,0.3849358558654785
12,8974.792918192918,141.09700181644334,3422.160927960928,13.668077626245799,2090.6276969298356,229.69530476869159,1399.9279307422305,5.702849813167478,15295,2282.6693670749664,7242,34.151740074157715,3208,23.78320813179016,1,0.5637192726135254
13,18373.98620437065,415.65120207519703,4322.793553900623,17.014829861347877,4626.273647939732,896.3749386990316,1678.6893120339298,6.9091216824224,29286,4553.9915635585785,9007,43.020429611206055,3212,44.33541917800903,1,0.5146808624267578
14,35128.316059329794,917.7824510787714,5389.92644814747,21.446661847884755,8749.668241130092,2067.357638359254,1992.443123238134,8.52989112502263,60970,19938.300831079483,11426,64.35371470451355,3852,85.43860030174255,1,0.4267623424530029
15,70218.80144460773,1247.909320785622,6480.974547387511,27.648353495959704,19146.774896897074,3316.533328953044,2313.5562385012354,11.29883085635598,115213,51230.98796725273,13518,199.72183847427368,2074,162.7424833774567,1,0.3760805130004883
